Digital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample Rate,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min,2 min
 16:14:00  08/08/2019,5.33,79.11,78.57,7,87.83,46,31.78,-6.28,-27.00,3,44,32,31.44,4.56,71.89,-29.00,33.71,62,11.28,17.17,43.33,46,28.94,9,32.30,0,63.72,65.44,66.50,1,65.00,31.61,0.00,30.28,4,75,74,3828,3828,14.41,98690,0,49926,26526,74,0,-4.00,62,3828,1,0,0,0,0,38.99,6.11,2.39,65.00,0,64,-4.00,64,9.67,3.44,92.83,90.74,-5.94,1,35.52,27.86,-0.61,15.90,72.10,10.30,442,24.40,14.80,27.60,28.80,225.70,168.50,82.90,1874,156,400.50,24.10,98,14403,666.30,18.40,1.00,1.00,50,3.22,36.13,448.60,9601,134,27.20,134,3688,14434,164,98,50,4816,156,28.70,659.80,1638,67,10.30,434,19.50,164,67,8554,23.78,10.00,38.48,0,29.11,5.22,0,10.00,29.22,0,23.89,0,38.38,5.22,20.00,0,1,0.00,7.00,12.50,100.00,16.28,37.30,3.50,0.30,0.28,12,17.11,0.22,0.40,12,5.89,3.50,100.00,20.72,37.20,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,8.20,4.80,18.00,227.80,230.00,230.40,37.00,22.10,21.70
 16:16:00  08/08/2019,5.33,81.78,79.39,7,76.05,92,30.94,-10.33,-29.72,2,40,50,34.67,4.89,67.78,-29.00,33.71,69,12.78,15.50,43.33,92,28.94,9,0.00,0,63.39,65.44,65.94,1,65.00,31.17,0.00,30.89,4,44,45,3828,3828,13.04,98695,0,49929,26528,45,0,-4.00,69,3829,1,0,0,0,0,35.88,2.83,2.39,65.00,0,53,-4.00,53,11.50,1.33,92.83,79.23,-10.06,1,35.52,24.73,-0.61,15.90,72.10,10.30,442,24.40,14.80,27.60,28.80,225.00,168.00,82.90,1874,156,400.50,24.10,98,14405,667.00,18.40,1.00,1.00,53,0.22,33.56,448.60,9602,134,27.70,134,3688,14436,164,98,52,4816,156,28.70,660.30,1638,67,9.80,434,19.50,164,67,8555,27.11,10.00,35.42,0,29.11,2.11,0,10.00,29.50,0,27.39,0,35.32,2.00,20.00,0,1,0.00,7.39,19.22,100.00,20.11,34.70,0.78,0.30,0.28,12,20.22,0.22,0.40,12,5.50,0.72,100.00,21.00,34.60,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,8.20,4.80,18.00,227.80,230.00,230.40,37.00,22.10,21.70
 16:18:00  08/08/2019,5.33,82.28,79.39,7,76.05,87,30.28,-11.00,-29.72,2,36,32,34.11,4.28,68.17,-29.00,33.71,69,13.61,14.78,30.11,87,28.94,9,0.00,0,63.39,65.44,65.67,1,65.00,30.33,0.00,30.89,4,26,29,3828,3828,13.19,98698,0,49930,26528,29,0,-4.00,64,3829,1,0,0,0,0,34.23,1.22,2.39,65.00,0,29,-4.00,29,12.61,0.89,91.78,78.10,-11.67,1,35.52,24.23,-0.61,15.90,71.60,10.30,442,24.40,14.80,27.60,28.80,225.80,168.80,82.90,1874,156,400.50,24.10,98,14407,668.20,18.40,1.00,1.00,40,-1.06,32.38,449.40,9603,134,27.70,134,3689,14438,164,98,39,4817,156,28.70,661.50,1638,67,9.80,434,19.50,164,67,8555,28.72,10.00,33.84,0,29.11,0.39,0,10.00,29.50,0,29.00,0,33.74,0.28,20.00,0,1,0.00,7.39,21.00,100.00,20.50,33.30,-0.50,0.30,0.28,12,21.61,0.22,0.40,12,5.22,-0.72,100.00,21.00,33.20,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,8.20,4.80,18.00,227.80,230.00,230.40,37.00,22.10,21.70
 16:20:00  08/08/2019,5.33,81.67,79.20,7,80.50,81,29.89,-9.67,-29.28,2,36,32,33.00,3.56,68.17,-29.00,33.71,43,15.39,14.00,28.61,81,28.94,9,0.00,0,63.39,65.44,65.67,1,65.00,29.89,0.00,30.89,4,28,26,3829,3828,13.24,98699,0,49931,26529,26,0,-4.00,42,3829,1,0,0,0,0,32.01,-1.28,2.39,65.00,0,24,-4.00,24,11.72,2.22,92.28,80.99,-9.67,1,35.52,25.24,-0.61,16.60,72.40,10.30,442,24.40,14.80,27.60,28.80,226.50,169.50,82.40,1874,156,401.80,24.10,98,14408,668.20,18.40,1.00,1.00,18,-2.33,31.29,449.90,9604,134,27.70,134,3690,14440,164,98,17,4818,156,28.70,662.80,1639,67,9.80,435,19.50,164,67,8557,30.72,10.00,31.97,0,29.11,-1.61,0,10.00,29.50,0,31.00,0,31.87,-1.61,20.00,0,1,0.00,7.39,22.78,98.20,20.89,32.10,-2.00,0.30,0.28,12,24.00,0.22,0.40,12,5.22,-2.22,98.70,21.89,31.90,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,8.20,4.80,18.00,227.80,230.00,230.40,37.00,22.10,21.70
 16:22:00  08/08/2019,2.39,78.33,79.10,7,73.54,56,28.22,-6.61,-29.28,2,35,32,31.89,2.56,69.11,-29.00,33.71,0,13.22,14.33,28.17,56,28.50,2,10.80,0,63.11,65.44,65.67,1,65.00,28.33,0.00,30.89,4,0,0,3829,3828,13.44,98703,0,49933,26530,0,0,-4.00,0,3829,1,0,0,0,0,34.59,1.06,2.39,65.00,0,31,-4.00,29,10.39,3.56,96.11,73.17,-6.89,1,35.52,27.61,-0.61,16.60,72.40,10.30,442,24.40,14.80,27.60,28.80,226.50,169.50,83.30,1875,156,402.40,24.10,98,14409,668.20,18.40,1.00,1.00,8,0.39,34.22,449.90,9605,134,27.70,134,3690,14440,164,98,10,4818,156,28.70,662.00,1639,67,9.80,435,19.50,164,67,8558,27.61,10.00,34.83,0,29.11,1.39,0,10.00,29.22,0,27.78,0,34.73,1.39,20.00,0,1,0.00,7.39,21.22,100.00,22.22,34.80,1.00,0.30,0.28,12,21.72,0.22,0.40,12,5.50,1.00,100.00,22.78,34.90,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,229.70,231.70,231.50,35.40,20.30,20.40
 16:24:00  08/08/2019,5.33,75.83,79.30,7,84.56,38,28.61,-2.72,-27.39,3,51,51,31.17,4.06,69.78,-29.00,33.71,11,9.06,17.06,28.17,39,28.50,9,59.00,0,63.11,65.44,64.78,1,65.00,28.61,0.00,30.89,4,23,23,3829,3828,14.18,98707,0,49935,26531,23,0,-4.00,29,3829,1,0,0,0,0,41.22,7.83,2.39,65.00,0,88,-4.00,88,8.44,5.89,95.33,85.57,-2.67,1,35.52,30.84,-0.61,16.60,73.10,10.30,442,24.40,14.80,27.60,28.80,227.80,169.50,83.30,1875,156,404.50,24.10,98,14412,670.00,18.40,1.00,1.00,45,5.61,38.70,452.20,9608,134,27.70,134,3691,14444,164,98,47,4820,156,28.70,664.40,1640,67,9.80,435,19.50,164,67,8561,21.50,10.00,41.14,0,29.11,7.78,0,10.00,29.22,0,21.39,0,41.14,7.78,20.00,0,1,0.00,8.39,4.22,80.10,10.39,40.00,6.22,0.30,0.28,12,13.61,0.22,0.40,12,5.78,5.89,100.00,19.61,39.70,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,229.70,231.70,231.50,35.40,20.30,20.40
 16:26:00  08/08/2019,5.33,80.33,80.97,7,89.43,39,30.33,-5.67,-27.89,2,54,54,33.39,5.56,72.22,-29.00,33.71,49,10.22,16.11,31.72,39,28.50,9,54.70,0,62.72,65.44,64.78,1,65.00,30.06,0.00,31.56,4,76,74,3830,3829,13.97,98715,0,49939,26533,74,0,-4.00,51,3829,1,1,0,0,0,39.05,6.06,2.39,65.00,0,100,-4.00,100,9.78,4.06,96.94,93.06,-5.39,1,35.52,28.35,-0.61,16.60,73.10,10.30,442,24.40,14.80,27.60,28.80,227.80,169.50,83.30,1875,156,404.50,24.10,98,14413,670.00,18.40,1.00,1.00,53,2.72,35.87,451.60,9608,134,27.70,134,3691,14445,164,98,54,4820,156,28.70,664.40,1640,67,9.80,435,19.50,164,67,8561,23.89,10.00,38.48,0,29.11,5.22,0,10.00,29.22,0,24.00,0,38.38,5.22,20.00,0,1,0.00,8.72,14.78,100.00,18.28,37.20,3.39,0.30,0.28,12,16.78,0.22,0.40,12,6.28,3.28,100.00,20.22,37.10,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,229.70,231.70,231.50,35.40,20.30,20.40
 16:28:00  08/08/2019,5.33,81.89,80.97,7,80.41,51,31.94,-7.78,-28.22,2,55,55,34.00,5.56,73.67,-29.00,33.71,62,10.67,15.56,33.83,51,28.83,9,46.70,0,62.72,65.44,65.22,1,65.00,31.94,0.00,31.56,4,69,71,3830,3829,13.76,98716,0,49940,26534,71,0,-4.00,62,3830,1,1,0,0,0,37.94,4.94,2.39,65.00,0,97,-4.00,97,7.72,-0.17,99.22,84.95,-7.56,1,35.52,26.67,-0.61,16.60,73.10,10.30,442,24.40,14.80,27.60,29.30,227.30,169.50,83.30,1875,156,404.50,24.10,98,14415,671.40,18.40,1.00,1.00,58,2.11,35.37,451.10,9608,134,27.70,134,3691,14447,164,98,58,4820,156,28.70,666.00,1640,67,9.80,435,19.50,164,67,8562,25.11,10.00,37.29,0,29.11,4.00,0,10.00,29.22,0,25.22,0,37.20,3.89,20.00,0,1,0.00,9.50,15.28,100.00,18.28,36.60,2.78,0.30,1.22,12,17.28,0.22,0.40,12,6.28,2.72,100.00,20.22,36.50,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,229.70,231.70,231.50,35.40,20.30,20.40
 16:30:00  08/08/2019,5.33,82.61,78.82,7,76.67,84,29.39,-11.83,-31.94,1,32,50,36.44,4.44,71.44,-29.00,33.71,59,12.72,14.72,28.56,84,28.39,9,0.00,0,62.72,65.44,64.56,1,65.00,29.56,0.00,30.61,4,37,39,3830,3829,11.99,98721,0,49942,26535,39,0,-4.00,59,3830,1,0,0,0,0,35.19,2.06,2.39,65.00,0,42,-4.00,50,9.67,-2.17,94.78,78.61,-11.94,1,35.52,23.63,-0.61,16.60,73.10,10.30,442,24.40,14.80,27.60,29.30,227.90,168.90,82.70,1875,156,404.50,24.10,98,14417,671.90,18.40,1.00,1.00,48,-0.50,32.97,451.10,9609,134,27.70,134,3691,14449,164,98,45,4821,156,28.70,666.00,1640,67,9.80,435,19.50,164,67,8563,27.28,10.00,34.93,0,29.11,1.61,0,10.00,29.22,0,27.50,0,34.83,1.50,20.00,0,1,0.00,12.22,19.72,100.00,20.00,34.10,0.22,1.90,3.89,12,20.78,0.22,0.40,12,5.61,0.11,100.00,20.89,33.90,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,229.70,231.70,231.50,35.40,20.30,20.40
 16:32:00  08/08/2019,5.33,81.22,78.71,7,77.46,75,29.11,-9.11,-29.89,2,31,31,34.06,4.11,70.50,-29.00,33.71,57,13.11,14.28,28.56,75,28.39,9,0.00,0,62.44,65.44,64.22,1,65.00,29.11,0.00,30.61,4,30,32,3830,3829,13.09,98722,0,49943,26535,32,0,-4.00,55,3830,1,0,0,0,0,34.41,1.28,2.39,65.00,0,32,-4.00,29,8.33,-0.72,92.56,78.72,-9.28,1,35.52,25.66,-0.61,16.60,72.60,10.30,442,24.40,14.80,27.60,29.30,227.90,169.60,83.60,1876,156,405.40,24.10,98,14418,671.90,18.40,1.00,1.00,36,-0.50,32.69,451.10,9610,134,27.70,134,3692,14451,164,98,33,4821,156,28.70,667.70,1640,67,9.80,435,19.50,164,67,8564,27.89,10.00,34.24,0,28.72,0.78,0,10.00,28.89,0,28.11,0,34.14,0.72,20.00,0,1,0.00,12.78,20.61,100.00,20.39,33.60,-0.22,1.90,4.72,12,21.28,0.22,0.40,12,5.28,-0.28,100.00,20.89,33.90,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,228.90,231.00,230.80,36.50,21.80,20.40
 16:34:00  08/08/2019,5.33,79.83,78.64,7,82.35,68,29.11,-9.44,-28.78,2,34,32,32.50,3.67,70.78,-29.00,33.71,45,13.78,13.89,28.94,68,28.39,9,0.00,0,62.44,65.44,64.22,1,65.00,29.11,0.00,30.61,4,35,35,3830,3829,13.59,98723,0,49943,26535,35,0,-4.00,45,3830,1,0,0,0,0,33.12,0.11,2.39,65.00,0,29,-4.00,29,10.44,1.33,91.78,83.03,-9.28,1,35.52,25.38,-0.61,16.60,72.60,10.30,443,24.40,15.40,27.60,29.30,228.40,169.60,83.60,1876,156,406.00,24.10,98,14419,671.90,18.40,1.00,1.00,24,-0.50,33.24,451.90,9611,134,27.70,134,3692,14452,164,98,24,4822,156,28.70,667.70,1640,67,9.80,435,19.00,164,67,8565,29.00,10.00,33.05,0,28.72,-0.39,0,10.00,28.89,0,29.39,0,32.95,-0.39,20.00,0,1,0.00,12.28,21.39,100.00,20.78,33.60,-0.78,1.90,4.39,12,21.89,0.22,0.40,12,5.28,-0.89,100.00,20.89,33.00,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,228.90,231.00,230.80,36.50,21.80,20.40
 16:36:00  08/08/2019,5.33,77.33,78.54,7,77.56,55,28.50,-9.44,-28.06,2,37,32,31.11,3.00,69.56,-29.00,33.71,34,14.11,14.28,31.56,55,28.39,9,0.00,0,62.44,65.44,63.83,1,65.00,28.56,0.00,30.61,4,29,29,3830,3829,13.91,98724,0,49943,26535,29,0,-4.00,34,3830,1,0,0,0,0,33.37,0.11,2.39,65.00,0,22,-4.00,22,12.17,2.72,93.78,77.83,-9.67,1,35.52,25.30,-0.61,16.60,72.60,10.30,443,24.40,15.40,27.60,29.30,229.10,169.60,83.60,1876,156,406.60,24.10,98,14421,673.50,18.40,1.00,1.00,13,-0.50,32.84,452.40,9612,134,27.70,134,3692,14453,164,98,11,4823,156,28.70,667.70,1640,67,9.80,435,19.00,164,67,8566,28.61,10.00,33.35,0,28.72,0.00,0,10.00,28.89,0,28.89,0,33.35,0.00,20.00,0,1,0.00,9.00,21.89,100.00,21.39,33.60,-0.50,0.70,1.50,12,22.78,0.22,0.40,12,5.28,-0.61,100.00,22.22,33.00,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,228.90,231.00,230.80,36.50,21.80,20.40
 16:38:00  08/08/2019,5.33,73.44,78.54,7,78.73,43,28.94,-7.33,-27.22,3,50,50,29.11,1.83,66.67,-29.00,33.71,6,16.28,15.50,31.22,43,28.72,9,0.00,0,62.44,65.44,63.17,1,65.00,28.83,0.00,30.61,4,14,13,3830,3829,14.34,98728,0,49945,26537,13,0,-4.00,0,3830,1,0,0,0,0,32.59,-0.89,2.39,65.00,0,24,-4.00,24,13.22,5.94,94.89,78.35,-7.33,1,35.52,27.03,-0.61,16.60,73.20,10.30,444,24.40,15.40,27.60,29.30,229.70,168.70,83.60,1876,156,406.60,24.10,98,14422,672.90,18.40,1.00,1.00,0,-0.94,32.71,452.40,9613,134,27.70,134,3692,14454,164,98,0,4824,156,28.20,667.70,1641,67,9.80,435,19.00,164,67,8567,29.11,10.00,32.76,0,28.39,-0.72,0,10.00,28.61,0,29.28,0,32.76,-0.72,20.00,0,1,0.00,7.39,22.89,100.00,22.22,33.60,-0.50,0.10,0.22,12,23.50,0.22,0.40,12,5.28,-0.61,100.00,22.78,33.00,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,228.90,231.00,230.80,36.50,21.80,20.40
 16:40:00  08/08/2019,5.33,73.44,78.78,7,82.93,48,29.94,-6.89,-30.06,2,40,50,31.28,1.22,65.83,-29.00,33.71,6,15.83,16.44,31.22,48,29.06,9,0.00,0,62.06,65.44,63.44,1,65.00,29.89,0.00,30.61,4,20,19,3830,3829,12.86,98729,0,49946,26537,19,0,-4.00,0,3830,1,0,0,0,0,33.93,0.50,2.39,65.00,0,28,-4.00,28,14.28,7.44,96.94,82.56,-6.89,1,35.52,27.39,-0.61,16.60,73.20,10.30,444,24.40,15.40,27.60,29.30,229.70,168.70,83.10,1876,156,406.60,24.10,98,14422,672.20,18.40,1.00,1.00,0,0.22,33.80,451.70,9613,134,27.70,134,3692,14454,164,98,0,4824,156,28.20,666.90,1641,67,9.80,435,19.00,164,67,8567,27.72,10.00,34.14,0,28.39,0.72,0,10.00,28.61,0,28.11,0,34.14,0.72,20.00,0,1,0.00,7.11,21.89,100.00,22.50,34.40,0.50,0.10,0.22,12,22.28,0.22,0.40,12,5.28,0.50,100.00,22.78,34.40,1,0.00,20.00,2,4.60,30.20,17.40,-5.80,7.70,4.80,17.10,228.90,231.00,230.80,36.50,21.80,20.40
 16:42:00  08/08/2019,5.33,73.83,79.16,7,81.50,36,29.33,-5.94,-30.06,2,39,50,31.28,1.22,68.50,-29.00,33.71,6,14.72,17.94,31.22,36,29.39,9,0.80,0,62.06,65.44,63.44,1,65.00,29.39,0.00,30.61,4,19,19,3830,3829,13.05,98729,0,49946,26537,19,0,-4.00,6,3830,1,0,0,0,0,36.50,3.06,2.39,65.00,0,35,-4.00,29,13.94,7.89,99.56,81.16,-6.06,1,35.52,28.15,-0.61,16.60,73.20,10.30,444,24.40,15.40,27.60,29.30,229.20,168.20,83.10,1876,156,405.90,24.10,98,14423,672.20,18.40,1.00,1.00,6,2.61,36.27,451.20,9613,134,27.70,134,3692,14455,164,98,6,4824,156,28.20,666.90,1641,67,9.80,435,19.00,164,67,8567,25.28,10.00,36.70,0,28.78,3.39,0,10.00,29.11,0,25.72,0,36.70,3.39,20.00,0,1,0.00,6.78,19.78,100.00,22.78,36.60,2.89,0.10,0.22,12,20.28,0.22,0.40,12,5.28,2.89,100.00,23.39,36.70,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,17.10,228.90,231.80,230.80,34.40,34.70,20.40
 16:44:00  08/08/2019,5.33,73.39,79.57,7,88.32,26,29.33,-4.83,-29.28,2,39,50,31.28,2.33,71.72,-29.00,33.71,32,12.44,19.33,30.72,26,29.39,9,24.50,0,62.06,65.44,63.44,1,65.00,29.39,0.00,30.94,4,38,35,3830,3830,13.31,98731,0,49947,26537,35,0,-4.00,32,3830,1,0,0,0,0,39.80,6.83,2.39,65.00,0,54,-4.00,54,12.39,7.22,98.72,88.32,-4.89,1,35.52,29.08,-0.61,16.60,73.20,10.30,444,24.40,15.40,27.60,29.30,230.00,169.00,83.10,1876,156,407.50,24.10,98,14424,672.20,18.40,1.00,1.00,26,5.39,38.46,452.60,9615,134,27.70,134,3693,14457,164,98,29,4825,156,28.20,668.40,1641,67,9.80,435,19.00,164,67,8569,22.72,10.00,39.67,0,29.22,6.39,0,10.00,29.11,0,22.89,0,39.56,6.39,20.00,0,1,0.00,6.50,16.61,100.00,22.11,39.20,5.39,0.10,0.22,12,17.50,0.22,0.40,12,5.28,5.22,100.00,22.89,39.00,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,17.10,228.90,231.80,230.80,34.40,34.70,20.40
 16:46:00  08/08/2019,5.33,78.33,79.90,7,78.92,100,32.11,-6.44,-29.28,2,39,50,34.50,5.28,75.33,-29.00,33.71,62,12.44,16.72,28.89,100,29.06,9,21.70,0,61.56,65.44,63.44,1,65.00,32.28,0.00,30.94,4,51,48,3831,3830,13.25,98742,0,49953,26541,48,0,-4.00,63,3831,1,0,0,0,0,37.44,4.61,2.39,65.00,0,79,-4.00,64,8.44,2.28,93.28,81.72,-5.94,1,35.52,27.72,-0.61,16.60,72.70,10.30,444,24.40,15.40,27.10,29.30,230.50,168.50,83.70,1877,156,407.50,24.10,98,14427,674.00,18.40,1.00,1.00,52,2.06,35.05,453.50,9617,134,27.70,134,3693,14459,164,98,51,4826,156,28.20,668.90,1641,67,9.80,435,19.00,164,67,8570,25.61,10.00,37.00,0,29.50,3.78,0,10.00,29.61,0,25.89,0,37.00,3.72,20.00,0,1,0.00,7.78,17.00,100.00,19.39,36.10,2.28,0.10,0.22,12,18.72,0.22,0.40,12,5.78,2.22,100.00,21.00,36.00,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,17.10,228.90,231.80,230.80,34.40,34.70,20.40
 16:48:00  08/08/2019,5.33,81.00,79.83,7,83.31,82,29.78,-10.22,-30.22,2,35,50,35.22,4.94,75.33,-29.00,33.71,62,11.78,15.39,28.89,82,29.06,9,5.10,0,61.56,65.44,63.00,1,65.00,30.06,0.00,30.94,4,60,61,3831,3831,12.78,98744,0,49954,26541,61,0,-4.00,65,3831,1,1,0,0,0,36.86,3.67,2.39,65.00,0,67,-4.00,64,10.44,0.33,93.61,85.91,-9.94,1,35.52,24.81,-0.61,16.10,72.70,10.30,444,24.40,15.40,27.10,29.30,230.50,168.50,83.70,1877,156,408.30,24.10,98,14427,673.30,18.40,1.00,1.00,52,0.78,34.27,453.00,9617,134,28.20,134,3693,14459,164,98,52,4826,156,28.20,668.10,1641,67,9.30,435,19.00,164,67,8571,26.11,10.00,36.50,0,29.50,3.28,0,10.00,29.61,0,26.28,0,36.50,3.22,20.00,0,1,0.00,7.78,18.00,100.00,19.89,35.60,1.78,0.10,0.22,12,19.28,0.22,0.40,12,5.78,1.72,100.00,21.00,35.50,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,17.10,228.90,231.80,230.80,34.40,34.70,20.40
 16:50:00  08/08/2019,5.33,80.61,79.80,7,81.29,69,29.33,-10.22,-29.67,2,34,32,34.50,4.94,73.44,-29.00,33.71,62,10.89,14.72,28.89,69,29.06,9,0.00,0,61.56,65.44,63.39,1,65.00,29.33,0.00,30.94,4,60,61,3831,3831,13.08,98744,0,49954,26541,61,0,-4.00,69,3831,1,1,0,0,0,36.97,3.67,2.39,65.00,0,49,-4.00,50,9.06,-1.61,95.44,83.69,-10.50,1,35.52,24.72,-0.61,16.10,72.70,10.30,444,24.40,15.40,27.10,29.30,230.00,168.00,83.70,1877,156,407.80,24.10,98,14427,672.50,18.40,1.00,1.00,52,1.11,34.51,452.40,9617,134,28.20,134,3693,14459,164,98,52,4826,156,28.20,667.30,1641,67,9.30,435,19.00,164,67,8571,26.11,10.00,36.70,0,29.50,3.28,0,10.00,29.61,0,26.28,0,36.61,3.22,20.00,0,1,0.00,8.61,16.61,100.00,18.72,35.60,1.78,0.10,1.00,12,18.72,0.22,0.40,12,5.28,1.72,100.00,20.72,35.50,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,17.10,228.90,231.80,230.80,34.40,34.70,20.40
 16:52:00  08/08/2019,5.33,79.22,79.84,7,83.36,62,29.72,-9.44,-28.61,2,37,32,33.17,4.50,69.89,-29.00,33.71,69,12.67,14.06,27.67,62,29.06,9,0.00,0,61.56,65.44,62.72,1,65.00,29.72,0.00,30.94,4,62,61,3831,3831,13.61,98744,0,49954,26541,61,0,-4.00,62,3831,1,0,0,0,0,34.35,1.44,2.39,65.00,0,29,-4.00,29,7.22,-1.94,94.61,84.96,-9.33,1,35.52,25.39,-0.61,16.10,73.30,10.90,444,24.40,15.40,27.10,29.30,230.00,168.60,83.70,1877,156,407.80,24.10,98,14429,672.50,18.40,1.00,1.00,37,-0.56,32.95,452.40,9618,134,28.20,134,3694,14461,164,98,36,4826,156,28.20,667.80,1642,67,9.30,435,19.00,164,67,8572,28.72,10.00,33.94,0,29.50,0.61,0,10.00,29.28,0,28.78,0,33.84,0.50,20.00,0,1,0.00,11.50,20.22,100.00,20.11,33.60,-0.22,2.20,4.50,12,21.28,0.22,0.40,12,5.28,-0.39,100.00,20.72,33.50,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,19.90,228.20,230.50,229.20,34.40,34.70,21.60
 16:54:00  08/08/2019,5.33,77.83,79.57,7,82.48,54,29.44,-9.94,-28.61,2,37,32,32.56,3.78,69.22,-29.00,33.71,57,13.78,13.61,29.11,54,29.06,9,0.00,0,61.56,65.44,62.72,1,65.00,29.44,0.00,30.94,4,62,61,3831,3831,13.61,98744,0,49954,26541,61,0,-4.00,51,3831,1,0,0,0,0,32.90,-0.17,2.39,65.00,0,21,-4.00,21,9.44,-0.28,95.33,83.33,-9.89,1,35.52,25.02,-0.61,17.00,73.30,10.90,444,24.40,15.40,27.10,29.30,230.00,168.60,83.10,1877,156,408.60,24.10,98,14431,674.10,18.40,1.00,1.00,21,-0.89,31.71,452.40,9619,134,28.20,134,3694,14462,164,98,19,4827,156,28.20,667.80,1642,67,9.30,436,19.00,164,67,8573,29.89,10.00,32.76,0,29.22,-0.72,0,10.00,29.28,0,30.00,0,32.66,-0.72,20.00,0,1,0.00,11.50,23.00,100.00,20.78,31.90,-2.11,2.20,4.50,12,22.89,0.22,0.40,12,5.28,-1.72,100.00,21.00,32.30,1,0.00,20.00,2,4.60,30.20,19.80,-5.80,7.70,7.80,19.90,228.20,230.50,229.20,34.40,34.70,21.60
