time;suction_mt;rc_mt_comp1;tamb;mt_comp1;mt_comp2;mt_comp3;mt_comp4;mt_pwr_tot;suction_lt;rc_lt_comp1;lt_comp1;lt_comp2;lt_comp3;lt_pwr_tot
01 01 2019 09:00:00;-13.5;71;5.7;Active;Inactive;Inactive;Inactive;16.8;-31.2;65;Active;Inactive;Inactive;14.4
01 01 2019 09:05:00;-17.1;9;6.5;Active;Inactive;Inactive;Inactive;16.8;-33.5;0;Inactive;Inactive;Inactive;15.6
01 01 2019 09:10:00;-12.7;53;7.2;Active;Inactive;Inactive;Inactive;22.8;-30.4;12;Active;Inactive;Inactive;18
01 01 2019 09:15:00;-10.1;49;7.7;Active;Inactive;Inactive;Inactive;22.8;-33.5;40;Active;Inactive;Active;18
01 01 2019 09:20:00;-11.1;0;8.4;Inactive;Inactive;Inactive;Inactive;21.6;-33.8;0;Inactive;Inactive;Inactive;15.6
01 01 2019 09:25:00;-14.9;38;9.1;Active;Inactive;Inactive;Inactive;24;-34.2;20;Active;Inactive;Inactive;16.8
01 01 2019 09:30:00;-12.4;89;9.7;Active;Inactive;Inactive;Inactive;19.2;-31.5;86;Active;Inactive;Inactive;14.4
01 01 2019 09:35:00;-13;86;10.4;Active;Inactive;Inactive;Inactive;18;-30.9;100;Active;Inactive;Inactive;16.8
01 01 2019 09:40:00;-12.6;82;11.2;Active;Inactive;Inactive;Inactive;21.6;-33.8;53;Active;Inactive;Inactive;15.6
01 01 2019 09:45:00;-16.3;19;11.7;Active;Inactive;Inactive;Inactive;22.8;-30.2;100;Active;Inactive;Inactive;18
01 01 2019 09:50:00;-16;24;12.2;Active;Inactive;Inactive;Inactive;19.2;-33.2;22;Active;Inactive;Inactive;15.6
01 01 2019 09:55:00;-14.4;64;12.5;Active;Inactive;Inactive;Inactive;26.4;-31.4;84;Active;Inactive;Inactive;19.2
01 01 2019 10:00:00;-15.4;33;12.8;Active;Active;Inactive;Inactive;21.6;-32.1;71;Active;Inactive;Inactive;18
01 01 2019 10:05:00;-16.2;19;13.1;Active;Inactive;Inactive;Inactive;16.8;-35;3;Active;Inactive;Inactive;15.6
01 01 2019 10:10:00;-13.1;75;13.3;Active;Inactive;Inactive;Inactive;25.2;-32.5;54;Active;Inactive;Inactive;18
